date,vehicle,vehicle_name,vehicle_type,capacity_kg,used_capacity_kg,store,arrival_min,arrival_time,tw_start_min,tw_end_min,tw_start_time,tw_end_time,load_kg
2026-01-01,0,Fixed-All Over JH-1,Fixed,2000,1994,ASM Imli Chowk Harmu,360,06:00,360,840,06:00,14:00,161
2026-01-01,0,Fixed-All Over JH-1,Fixed,2000,1994,AM Hindpiri RNC,377,06:17,360,840,06:00,14:00,346
2026-01-01,0,Fixed-All Over JH-1,Fixed,2000,1994,AM WC LALPUR RNC,396,06:36,360,840,06:00,14:00,1255
2026-01-01,0,Fixed-All Over JH-1,Fixed,2000,1994,AM Lalpur RNC,411,06:51,360,840,06:00,14:00,1604
2026-01-01,0,Fixed-All Over JH-1,Fixed,2000,1994,AM Nayatoli RNC,427,07:07,360,840,06:00,14:00,1994
2026-01-01,1,Fixed-All Over JH-2,Fixed,2000,1979,ASM AG Colony Kadru,360,06:00,360,840,06:00,14:00,59
2026-01-01,1,Fixed-All Over JH-2,Fixed,2000,1979,AM RIMS Jora Talab RNC,387,06:27,360,840,06:00,14:00,303
2026-01-01,1,Fixed-All Over JH-2,Fixed,2000,1979,AM Cheshire Home Road RNC,404,06:44,360,840,06:00,14:00,656
2026-01-01,1,Fixed-All Over JH-2,Fixed,2000,1979,ASM Aayodhya Puri RC,420,07:00,360,840,06:00,14:00,1082
2026-01-01,1,Fixed-All Over JH-2,Fixed,2000,1979,ASM Lower Chutia,442,07:22,360,840,06:00,14:00,1732
2026-01-01,1,Fixed-All Over JH-2,Fixed,2000,1979,AM Doranda RNC,462,07:42,360,840,06:00,14:00,1979
2026-01-01,2,Fixed-All Over JH-3,Fixed,2000,2000,AM Hurhuru Chowk HZB,360,06:00,360,840,06:00,14:00,68
2026-01-01,2,Fixed-All Over JH-3,Fixed,2000,2000,AM New Nutan Nagar HZB,380,06:20,360,840,06:00,14:00,878
2026-01-01,2,Fixed-All Over JH-3,Fixed,2000,2000,ASM Sinchai Colony Chowk HB,399,06:39,360,840,06:00,14:00,1121
2026-01-01,2,Fixed-All Over JH-3,Fixed,2000,2000,AM Sindoor HZB,419,06:59,360,840,06:00,14:00,1523
2026-01-01,2,Fixed-All Over JH-3,Fixed,2000,2000,AM Kallu Chowk HZB,441,07:21,360,840,06:00,14:00,1537
2026-01-01,2,Fixed-All Over JH-3,Fixed,2000,2000,AM Ramnagar HZB,458,07:38,360,840,06:00,14:00,1983
2026-01-01,2,Fixed-All Over JH-3,Fixed,2000,2000,AM Markham HZB,477,07:57,360,840,06:00,14:00,1993
2026-01-01,2,Fixed-All Over JH-3,Fixed,2000,2000,AM Ratu Rd Kamre RNC,620,10:20,360,840,06:00,14:00,2000
2026-01-01,3,Fixed-All Over JH-4,Fixed,2000,1887,AM Tatisilwai Chowk RNC,360,06:00,360,840,06:00,14:00,810
2026-01-01,3,Fixed-All Over JH-4,Fixed,2000,1887,AM Tatisilway Rd RNC,377,06:17,360,840,06:00,14:00,924
2026-01-01,3,Fixed-All Over JH-4,Fixed,2000,1887,AM Getlatu RNC,401,06:41,360,840,06:00,14:00,1086
2026-01-01,3,Fixed-All Over JH-4,Fixed,2000,1887,AM PITAMBRAM PALACE RNC,420,07:00,360,840,06:00,14:00,1502
2026-01-01,3,Fixed-All Over JH-4,Fixed,2000,1887,AM Bargain RNC,439,07:19,360,840,06:00,14:00,1623
2026-01-01,3,Fixed-All Over JH-4,Fixed,2000,1887,AM Ravi Steel RNC,473,07:53,360,840,06:00,14:00,1887
2026-01-01,4,Fixed-All Over JH-5,Fixed,2000,1860,AM Ghat Rd Kadma JSR,360,06:00,360,840,06:00,14:00,495
2026-01-01,4,Fixed-All Over JH-5,Fixed,2000,1860,AM Dindly Basti Rd Adityapur JSR,379,06:19,360,840,06:00,14:00,680
2026-01-01,4,Fixed-All Over JH-5,Fixed,2000,1860,AM Rd Number 10 Adityapur 2 JSR,396,06:36,360,840,06:00,14:00,922
2026-01-01,4,Fixed-All Over JH-5,Fixed,2000,1860,AM Railway Colony JDR,412,06:52,360,840,06:00,14:00,1229
2026-01-01,4,Fixed-All Over JH-5,Fixed,2000,1860,AM Mahaveer Trade Center Gamharia JSR,438,07:18,360,840,06:00,14:00,1379
